blind_id,artist,track_title,collection,preview_url,source_query
p0049.ogg,"Academy of Ancient Music, Christopher Hogwood & Christophe Coin","Cello Concerto in A Minor, R.418: 1. Allegro",Vivaldi: 6 Cello Concertos,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview125/v4/5b/8c/7a/5b8c7a86-7b8c-8e79-4075-d4458443a471/mzaf_5213101787084341468.plus.aac.p.m4a,baroque classical
p0050.ogg,Bruce Liu,"Nouvelles suites de pièces de clavecin, RCT 5: No. 7, Gavotte et six doubles: Gavotte","WAVES: Music by Rameau, Ravel, Alkan",https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview211/v4/46/73/44/4673442e-ebf5-54fd-1c92-8881b81736fa/mzaf_17400334019302771093.plus.aac.p.m4a,baroque classical
p0051.ogg,"Rinaldo Alessandrini, Concerto Italiano & Laura Giordano","L'Olimpiade, Opéra in 3 Acts, RV 725: Act II, 5: Aria ""Siam Navi All'onde Algenti"" Allegro mà poco",Vivaldi: l'Olimpiade,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview115/v4/7c/15/09/7c15096a-ef37-b9de-c4b9-8c29b2b09ee9/mzaf_6442418603195710608.plus.aac.p.m4a,baroque classical
p0052.ogg,Jeannette Sorrell & Apollo's Fire,"La Folia - ""Madness"": Concerto grosso, after the Sonata No. 12, Op. 1",Vivaldi: La Folia (Madness) & Other Concertos,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview115/v4/52/83/ba/5283ba93-a24d-b29c-73ad-b27492595380/mzaf_795291470288047656.plus.aac.p.m4a,baroque classical
p0053.ogg,Tedi Papavrami,"6 Violin Sonatas and Partitas: Sonata No. 1 in G Minor, BWV 1001: II. Fuga. Allegro","Bach, Paganini, Bartók, Scarlatti & Ysaÿe: Violon seul",https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview125/v4/0e/bb/07/0ebb07ee-ca5e-c47a-f705-37e220d642f4/mzaf_3946694263513212468.plus.aac.p.m4a,baroque classical
p0054.ogg,"Ensemble Matheus, Jean-Christophe Spinosi & Philippe Jaroussky",Andromeda liberata: Sovente il sole (Perseo),Vivaldi: Heroes,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview115/v4/c1/fc/d7/c1fcd7bb-f9b0-c65e-5eda-960d1e192dfb/mzaf_9341280524176071578.plus.aac.p.m4a,baroque classical
p0055.ogg,"Alessandro De Marchi, Academia Montis Regalis & Magdalena Kožená","Juditha Triumphans, RV 644: Seconda Parte: Aria - Transit aetas",Vivaldi: Juditha Triumphans,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview115/v4/86/1c/bb/861cbb8b-4a6e-87f7-f239-49abac127028/mzaf_11455720460906657270.plus.aac.p.m4a,baroque classical
p0056.ogg,"Janine Jansen, Candida Thompson, Henk Rubingh, Julian Rachlin, Maarten Jansen, Stacey Watton, Liz Kenny & Jan Jansen","The Four Seasons, Concerto No. 2 in G Minor, RV 315 ""Summer"": III. Presto",Vivaldi: The Four Seasons,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview211/v4/21/50/bf/2150bfa6-18ed-c6fd-8cbb-7e50cbc856d3/mzaf_10919923276792529357.plus.aac.p.m4a,baroque classical
p0057.ogg,"Nemanja Radulović, Sébastien Giot & Double Sens","Concerto for Violin and Oboe in C Minor, BWV 1060: II. Adagio",J. S. Bach,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview211/v4/29/61/67/2961672f-9a43-cd22-da82-6b9f880acbf1/mzaf_3058865888774425540.plus.aac.p.m4a,baroque classical
p0058.ogg,Philip Pickett & New London Consort,"Concerto for Flute and Strings in G Minor, Op. 10, No. 2, R. 439 - ""La Notte"": VI. Allegro","Vivaldi: 14 Concertos (For Mandolin, Flute, Trumpet, Violin, Etc.)",https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview115/v4/a8/62/2b/a8622b23-2321-28e8-f04b-990b00075535/mzaf_12320944568864525345.plus.aac.p.m4a,baroque classical
p0059.ogg,"Raphaël Pichon, Pygmalion & Maîtrise de Radio France","Matthäus-Passion, BWV 244, Prima parte: Nr.1. Chorus I & II ""Kommt, ihr Töchter, helft mir klagen""","J.S. Bach: Matthäus-Passion, BWV 244",https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview221/v4/d9/3c/a9/d93ca948-5d6f-af60-8787-6fc434a2f49c/mzaf_10093360589157942982.plus.aac.p.m4a,baroque classical
p0060.ogg,Jean-Christophe Spinosi & Ensemble Matheus,"La fida ninfa: Sinfonia, RV 725: I. Allegro",Vivaldi: La fida ninfa,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview125/v4/3f/67/34/3f67344f-c589-9a39-eb05-f3d5d4a3b50c/mzaf_13901398566078948251.plus.aac.p.m4a,baroque classical
p0061.ogg,Akademie für Alte Musik Berlin,"Water Music, Suite No. 2, HWV 349: XII. [Alla Hornpipe]",Handel: Water Music,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview115/v4/ae/1b/32/ae1b3280-83f3-fbc6-84d2-cc498d86a2e0/mzaf_14472380721342046817.plus.aac.p.m4a,baroque classical
p0062.ogg,"Maxim Emelyanychev, Jakub Józef Orliński & Il Pomo d'Oro","Il Giustino, RV 717, Act I: Vedrò con mio diletto (Anastasio)",Vivaldi: Vedrò con mio diletto - Single,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview112/v4/63/e8/cb/63e8cbd2-e739-b0d7-9055-713ddcd304d7/mzaf_7355649986984836289.plus.aac.p.m4a,baroque classical
p0063.ogg,Rinaldo Alessandrini & Concerto Italiano,"Brandenburg Concerto No. 3 in G Major, BWV 1048: I. —",Bach: Brandenburg Concertos,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview115/v4/86/82/7a/86827acd-f998-4d92-18b0-5669d585db46/mzaf_4976166886472123022.plus.aac.p.m4a,baroque classical
p0064.ogg,"René Jacobs, Concerto Vocale, Danielle Borst & Guillemette Laurens","L'incoronazione di Poppea, Act III, Scene 8: ""Pur ti miro""",Monteverdi: L'incoronazione di Poppea,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview125/v4/e8/63/e5/e863e52f-60ae-5c68-50a3-1bcc9be8dd32/mzaf_3747707214903580187.plus.aac.p.m4a,baroque classical
p0065.ogg,Yeol Eum Son,"Partita No. 1 in B-Flat Major, BWV 825: VII. Gigue (Transcr. for Piano Left Hand by Paul Wittgenstein)",Ravel: Piano Concertos - Bach / Wittgenstein,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview211/v4/d8/9b/78/d89b78be-2783-c153-db43-3bb08bef34b2/mzaf_1340055925215367542.plus.aac.p.m4a,baroque classical
p0066.ogg,Simone Dinnerstein,"Invention No. 1 in C Major, BWV 772","Bach: Inventions & Sinfonias, BWV 772-801",https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview125/v4/26/af/fd/26affd74-8cef-6fbc-ff59-71588d85b124/mzaf_8133015841360838369.plus.aac.p.m4a,baroque classical
p0067.ogg,Giovanni Sollima & Il Pomo d'Oro,"Dorilla in Tempe, RV 709, Sinfonia: II. Andante",Al-Bunduqiyya – The Lost Concerto,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview221/v4/45/d5/8e/45d58ed4-9287-71cd-d848-12a3ac553126/mzaf_18099386391468178369.plus.aac.p.m4a,baroque classical
p0068.ogg,"Avi Avital, Mahan Esfahani, Ophira Zakai & Patrick Sepec","Trio Sonata in C Major, RV 82: II. Larghetto",Vivaldi,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview125/v4/cf/07/84/cf07842e-30b6-2fab-22c8-92599fe96b40/mzaf_13494871833761482976.plus.aac.p.m4a,baroque classical
p0069.ogg,"Anna Zander, Carlos Mena, Stephan MacLeod, Ricercar Consort, Philippe Pierlot, Maria Keohane & Hans Jörg Mammel","Magnificat, BWV 243: Magnificat","Bach: Magnificat, BWV 243 & Missa, BWV 235",https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview125/v4/cf/7f/7f/cf7f7fb1-b746-c724-f528-236a4d8f926d/mzaf_6622651817388024731.plus.aac.p.m4a,baroque classical
p0070.ogg,"Berliner Barock Solisten, Emmanuel Pahud & Rainer Kussmaul","Orchestral Suite No. 2 in B Minor, BWV 1067: VII. Badinerie",Bach: Brandenburg Concerto No. 5 - Orchestral Suite No. 2 - Trio Sonata - Partita,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview115/v4/8e/58/59/8e5859ba-3399-e042-5da1-debe70c308c5/mzaf_7021189617849173446.plus.aac.p.m4a,baroque classical
p0071.ogg,"Sonia Prina, Alessandro De Marchi & Academia Montis Regalis","Orlando finto pazzo, Act III: Aria ""Andero, volero, gridero""",Ladies Sing Baroque,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview125/v4/f6/6c/ac/f66cacba-6331-d295-6b3e-7465df5a0934/mzaf_7918975658351256122.plus.aac.p.m4a,baroque classical
p0072.ogg,"Giovanni Antonini, Cecilia Bartoli & Il Giardino Armonico","Il Farnace, Act 2 Scene 5: Gelido in ogni vena",Sospiri,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview221/v4/26/32/8a/26328af0-2ed2-9acb-7926-02e5d0236abe/mzaf_17686211809492617582.plus.aac.p.m4a,baroque classical
